year	visitor_count	total visitors
1944	"1,409"	        "15,431,947"
1945	"3,205"	        "15,431,947"
1946	"10,037"	"15,431,947"
1947	"28,652"	"15,431,947"
1948	"45,670"	"15,431,947"
1949	"62,150"	"15,431,947"
1950	"70,325"	"15,431,947"
1951	"84,051"	"15,431,947"
1952	"94,367"	"15,431,947"
1953	"86,635"	"15,431,947"
1954	"67,300"	"15,431,947"
1955	"81,000"	"15,431,947"
1956	"89,700"	"15,431,947"
1957	"75,000"	"15,431,947"
1958	"72,600"	"15,431,947"
1959	"70,400"	"15,431,947"
1960	"75,900"	"15,431,947"
1961	"90,600"	"15,431,947"
1962	"91,000"	"15,431,947"
1963	"114,200"	"15,431,947"
1964	"119,700"	"15,431,947"
1965	"174,600"	"15,431,947"
1966	"163,500"	"15,431,947"
1967	"173,300"	"15,431,947"
1968	"191,800"	"15,431,947"
1969	"199,800"	"15,431,947"
1970	"172,600"	"15,431,947"
1971	"205,000"	"15,431,947"
1972	"240,904"	"15,431,947"
1973	"283,300"	"15,431,947"
1974	"158,700"	"15,431,947"
1975	"275,500"	"15,431,947"
1976	"378,600"	"15,431,947"
1977	"334,000"	"15,431,947"
1978	"301,198"	"15,431,947"
1979	"282,941"	"15,431,947"
1980	"174,008"	"15,431,947"
1981	"167,332"	"15,431,947"
1982	"180,144"	"15,431,947"
1983	"164,926"	"15,431,947"
1984	"167,665"	"15,431,947"
1985	"188,045"	"15,431,947"
1986	"200,622"	"15,431,947"
1987	"227,921"	"15,431,947"
1988	"239,595"	"15,431,947"
1989	"281,728"	"15,431,947"
1990	"257,378"	"15,431,947"
1991	"296,470"	"15,431,947"
1992	"294,535"	"15,431,947"
1993	"327,907"	"15,431,947"
1994	"330,417"	"15,431,947"
1995	"295,460"	"15,431,947"
1996	"279,454"	"15,431,947"
1997	"305,882"	"15,431,947"
1998	"338,442"	"15,431,947"
1999	"327,649"	"15,431,947"
2000	"262,320"	"15,431,947"
2001	"328,927"	"15,431,947"
2002	"327,747"	"15,431,947"
2003	"312,384"	"15,431,947"
2004	"357,723"	"15,431,947"
2005	"398,583"	"15,431,947"
2006	"298,717"	"15,431,947"
2007	"364,856"	"15,431,947"
2008	"362,512"	"15,431,947"
2009	"363,905"	"15,431,947"
2010	"372,330"	"15,431,947"
2011	"361,862"	"15,431,947"
2012	"292,055"	"15,431,947"
2013	"316,953"	"15,431,947"
2014	"314,102"	"15,431,947"
2015	"381,747"	"15,431,947"
		
